ID,Movie_Name,Movie_Score,Review_Count,Movie_Star_Distribution,Collect_Date,Username,Post_Date,Score,User_Comment,User_Comment_Distribution,Comment_Like_Count,Movie_Tags
9175,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,Zippies,2010-04-22,4,最后剧情有点无法理解，扣去一星,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9176,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,孤筏重洋,2015-08-18,5,不朽的乐圣，不朽的第九交响曲..★★★★☆,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9177,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,iamBradPitt,2015-01-06,5,Music by Ludwig van Beethoven,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9178,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,aquadu,2010-05-12,4,被漫天繁星怀抱肆意奔跑,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9179,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,络绎,2016-04-04,4,GO弹钢琴的样子实在是犯规犯规犯规！！！,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9180,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,小鬼Bono,2011-11-27,4,A weird butterfly life,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9181,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,來 生,2009-06-12,5,路德維希路德維希，你曾就這樣活在你單純執拗的小世界裏，從靜謐深淵裏的一朵花那兒流淌出至死不渝的一生。,76%20%4%,1,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9182,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,墨迹的红烧肉,2018-06-23,5,大爱Garry Oldman！讲真，个人认为这位“永恒的爱人”并不是特指某位具体的现实存在的女性，而是仅存在于Beethoven脑海中的缪斯女神，充满母性，好比是Beethoven的圣母玛利亚。最爱那段以欢乐颂为背景的小Beethoven徜徉在水塘中，融入星河！也喜欢他趴在琴板上的那段“月光”，对每一个音符都好温柔！,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9183,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,夕西然,2016-05-17,4,真是能编，贝多芬和弟媳的恋情······加里演的贝多芬虽然不太像画中的样子，却好极了，把贝多芬失聪后对音乐的爱以及性格暴虐的神经质模样表现得淋淋尽致。,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9185,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,激流火枪手,2018-10-15,5,"三段情人，诉说一生。
衷心希望大师最后有被《欢乐颂》治愈，听到这一曲我已经流泪了。
克莱采和卡尔之谜的答案难道是弟媳？",76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9186,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,赤己,2013-11-04,4,他在台上手足无措的时候最令人难受，无声的那段我是闭起眼的，想看看能不能感受到那音乐。。。结果。。。听不到是很可怕的事   [ 你固情浓 我爱更深 ]  谁说贝多芬不是诗人,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9187,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,小女巫,2012-01-24,5,失恋 失和 失聪 除了天才他还剩下什么,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9188,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,Jinsy,2012-07-09,4,音乐很美妙，结局很俗套,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
